Level	Multiplier
0	1
1	1.25
2	1.5
3	1.9
4	2.4
5	3
6	3.75
7	4.75
8	6
9	7.5
10	9.5
11	12
12	15
13	18.75
14	23.5
15	29.5
16	37
17	46.5
18	58
19	73
20	91
21	114
22	143
23	179
24	224
25	250
26	1001
27	1301
28	1701
29	2201
30	2901
31	3801
32	4901
33	6401
34	8301
35	10801
36	14001
37	18201
38	23701
39	30801
40	40001
41	52001
42	67601
43	87901
44	114301
45	148601
46	193201
47	251201
48	326601
49	424601
50	552001
51	552001
52	552001
53	552001
54	552001
55	552001
56	552001
57	552001
58	552001
59	552001
60	552001
61	552001
62	552001
63	552001
64	552001
65	552001
66	552001
67	552001
68	552001
69	552001
70	552001
71	552001
72	552001
73	552001
74	552001
75	552001
76	552001
77	552001
78	552001
79	552001
80	552001
81	552001
82	552001
83	552001
84	552001
85	552001
86	552001
87	552001
88	552001
89	552001
90	552001
91	552001
92	552001
93	552001
94	552001
95	552001
96	552001
97	552001
98	552001
99	552001
100	552001
101	552001
102	552001
103	552001
104	552001
105	552001
106	552001
107	552001
108	552001
109	552001
110	552001
111	552001
112	552001
113	552001
114	552001
115	552001
116	552001
117	552001
118	552001
119	552001
120	552001
121	552001
122	552001
123	552001
124	552001
125	552001
126	552001
127	552001
128	552001
129	552001
130	552001
131	552001
132	552001
133	552001
134	552001
135	552001
136	552001
137	552001
138	552001
139	552001
140	552001
141	552001
142	552001
143	552001
144	552001
145	552001
146	552001
147	552001
148	552001
149	552001
150	552001
151	552001
152	552001
153	552001
154	552001
155	552001
156	552001
157	552001
158	552001
159	552001
160	552001
161	552001
162	552001
163	552001
164	552001
165	552001
166	552001
167	552001
168	552001
169	552001
170	552001
171	552001
172	552001
173	552001
174	552001
175	552001
176	552001
177	552001
178	552001
179	552001
180	552001
181	552001
182	552001
183	552001
184	552001
185	552001
186	552001
187	552001
188	552001
189	552001
190	552001
191	552001
192	552001
193	552001
194	552001
195	552001
196	552001
197	552001
198	552001
199	552001
200	552001
201	552001
202	552001
203	552001
204	552001
205	552001
206	552001
207	552001
208	552001
209	552001
210	552001
211	552001
212	552001
213	552001
214	552001
215	552001
216	552001
217	552001
218	552001
219	552001
220	552001
221	552001
222	552001
223	552001
224	552001
225	552001
226	552001
227	552001
228	552001
229	552001
230	552001
231	552001
232	552001
233	552001
234	552001
235	552001
236	552001
237	552001
238	552001
239	552001
240	552001
241	552001
242	552001
243	552001
244	552001
245	552001
246	552001
247	552001
248	552001
249	552001
250	552001
251	552001
252	552001
253	552001
254	552001
255	552001
