Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
1	80	1	1	64	80	1	1	1	80	1	1	1
2	101	1	1	81	101	1	1	1	101	1	1	1
3	122	1	1	98	122	1	1	1	122	1	1	1
4	143	1	1	114	143	1	1	1	143	1	1	1
5	164	1	1	131	164	1	1	1	164	1	1	1
6	185	1	1	148	185	1	1	1	185	1	1	1
7	206	1	1	165	206	1	1	1	206	1	1	1
8	227	1	1	182	227	1	1	1	227	1	1	1
9	248	1	1	198	248	1	1	1	248	1	1	1
10	269	1	1	215	269	1	1	1	269	1	1	1
11	290	1	1	232	290	1	1	1	290	1	1	1
12	312	1	1	250	312	1	1	1	312	1	1	1
13	321	1	1	257	321	1	1	1	321	1	1	1
14	375	1	1	300	375	1	1	1	375	1	1	1
15	384	1	1	307	384	1	1	1	384	1	1	1
16	432	1	1	346	432	1	1	1	432	1	1	1
17	441	1	1	353	441	1	1	1	441	1	1	1
18	488	1	1	390	488	1	1	1	488	1	1	1
19	533	1	1	426	533	1	1	1	533	1	1	1
20	547	1	1	438	547	1	1	1	547	1	1	1
21	593	1	1	474	593	1	1	1	593	1	1	1
22	603	1	1	482	603	1	1	1	603	1	1	1
23	672	1	1	538	672	1	1	1	672	1	1	1
24	695	1	1	556	695	1	1	1	695	1	1	1
25	788	1	1	630	788	1	1	1	788	1	1	1
26	804	1	1	643	804	1	1	1	804	1	1	1
27	841	1	1	673	841	1	1	1	841	1	1	1
28	867	1	1	694	867	1	1	1	867	1	1	1
29	928	1	1	742	928	1	1	1	928	1	1	1
30	950	1	1	760	950	1	1	1	950	1	1	1
31	1049	1	1	839	1049	1	1	1	1049	1	1	1
32	1067	1	1	854	1067	1	1	1	1067	1	1	1
33	1145	1	1	916	1145	1	1	1	1145	1	1	1
34	1183	1	1	946	1183	1	1	1	1183	1	1	1
35	1245	1	1	996	1245	1	1	1	1245	1	1	1
36	1270	1	1	1016	1270	1	1	1	1270	1	1	1
37	1333	1	1	1066	1333	1	1	1	1333	1	1	1
38	1358	1	1	1086	1358	1	1	1	1358	1	1	1
39	1447	1	1	1158	1447	1	1	1	1447	1	1	1
40	1474	1	1	1179	1474	1	1	1	1474	1	1	1
41	1589	1	1	1271	1589	1	1	1	1589	1	1	1
42	1612	1	1	1290	1612	1	1	1	1612	1	1	1
43	1660	1	1	1328	1660	1	1	1	1660	1	1	1
44	1688	1	1	1350	1688	1	1	1	1688	1	1	1
45	1793	1	1	1434	1793	1	1	1	1793	1	1	1
46	1833	1	1	1466	1833	1	1	1	1833	1	1	1
47	1950	1	1	1560	1950	1	1	1	1950	1	1	1
48	1976	1	1	1581	1976	1	1	1	1976	1	1	1
49	2044	1	1	1635	2044	1	1	1	2044	1	1	1
50	2070	1	1	1656	2070	1	1	1	2070	1	1	1
51	2171	1	1	1737	2171	1	1	1	2171	1	1	1
52	2208	1	1	1766	2208	1	1	1	2208	1	1	1
53	2300	1	1	1840	2300	1	1	1	2300	1	1	1
54	2334	1	1	1867	2334	1	1	1	2334	1	1	1
55	2422	1	1	1938	2422	1	1	1	2422	1	1	1
56	2467	1	1	1974	2467	1	1	1	2467	1	1	1
57	2563	1	1	2050	2563	1	1	1	2563	1	1	1
58	2593	1	1	2074	2593	1	1	1	2593	1	1	1
59	2747	1	1	2198	2747	1	1	1	2747	1	1	1
60	2937	1	1	2350	2937	1	1	1	2937	1	1	1
61	3037	1	1	2430	3037	1	1	1	3037	1	1	1
62	3122	1	1	2498	3122	1	1	1	3122	1	1	1
63	3207	1	1	2566	3207	1	1	1	3207	1	1	1
64	3352	1	1	2682	3352	1	1	1	3352	1	1	1
65	3516	1	1	2813	3516	1	1	1	3516	1	1	1
66	3635	1	1	2908	3635	1	1	1	3635	1	1	1
67	3820	1	1	3056	3820	1	1	1	3820	1	1	1
68	3858	1	1	3086	3858	1	1	1	3858	1	1	1
69	3974	1	1	3179	3974	1	1	1	3974	1	1	1
70	4299	1	1	3439	4299	1	1	1	4299	1	1	1
71	4443	1	1	3554	4443	1	1	1	4443	1	1	1
72	4608	1	1	3686	4608	1	1	1	4608	1	1	1
73	4886	1	1	3909	4886	1	1	1	4886	1	1	1
74	4973	1	1	3978	4973	1	1	1	4973	1	1	1
75	5118	1	1	4094	5118	1	1	1	5118	1	1	1
76	5239	1	1	4191	5239	1	1	1	5239	1	1	1
77	5298	1	1	4238	5298	1	1	1	5298	1	1	1
78	5408	1	1	4326	5408	1	1	1	5408	1	1	1
79	5461	1	1	4369	5461	1	1	1	5461	1	1	1
80	5534	1	1	4427	5534	1	1	1	5534	1	1	1
81	6013	1	1	4810	6013	1	1	1	6013	1	1	1
82	6465	1	1	5172	6465	1	1	1	6465	1	1	1
83	7096	1	1	5677	7096	1	1	1	7096	1	1	1
84	7500	1	1	6000	7500	1	1	1	7500	1	1	1
85	7987	1	1	6390	7987	1	1	1	7987	1	1	1
86	8840	1	1	7072	8840	1	1	1	8840	1	1	1
87	9585	1	1	7668	9585	1	1	1	9585	1	1	1
88	10174	1	1	8139	10174	1	1	1	10174	1	1	1
89	10883	1	1	8706	10883	1	1	1	10883	1	1	1
90	11494	1	1	9195	11494	1	1	1	11494	1	1	1
91	11891	1	1	9513	11891	1	1	1	11891	1	1	1
92	12301	1	1	9841	12301	1	1	1	12301	1	1	1
93	12725	1	1	10180	12725	1	1	1	12725	1	1	1
94	20481	1	1	16385	20481	1	1	1	20481	1	1	1
95	20481	1	1	16385	20481	1	1	1	20481	1	1	1
96	20481	1	1	16385	20481	1	1	1	20481	1	1	1
