Level	Player-to-player Healing	NPC-to-player damage	Player-to-NPC damage
1	206	1	1
2	224	1	1
3	243	1	1
4	261	1	1
5	280	1	1
6	298	1	1
7	316	1	1
8	335	1	1
9	353	1	1
10	372	1	1
11	384	1	1
12	396	1	1
13	408	1	1
14	420	1	1
15	433	1	1
16	445	1	1
17	457	1	1
18	469	1	1
19	481	1	1
20	494	1	1
21	511	1	1
22	528	1	1
23	545	1	1
24	562	1	1
25	579	1	1
26	596	1	1
27	613	1	1
28	630	1	1
29	647	1	1
30	664	1	1
31	685	1	1
32	707	1	1
33	729	1	1
34	750	1	1
35	772	1	1
36	794	1	1
37	815	1	1
38	837	1	1
39	859	1	1
40	881	1	1
41	901	1	1
42	922	1	1
43	943	1	1
44	964	1	1
45	985	1	1
46	1005	1	1
47	1026	1	1
48	1047	1	1
49	1068	1	1
50	1089	1	1
51	1109	1	1
52	1130	1	1
53	1151	1	1
54	1172	1	1
55	1193	1	1
56	1214	1	1
57	1235	1	1
58	1256	1	1
59	1277	1	1
60	1298	1	1
61	1343	1	1
62	1388	1	1
63	1433	1	1
64	1478	1	1
65	1524	1	1
66	1569	1	1
67	1614	1	1
68	1659	1	1
69	1704	1	1
70	1750	1	1
71	1783	1	1
72	1817	1	1
73	1850	1	1
74	1884	1	1
75	1917	1	1
76	1951	1	1
77	1984	1	1
78	2018	1	1
79	2051	1	1
80	2085	1	1
81	2151	1	1
82	2217	1	1
83	2283	1	1
84	2349	1	1
85	2415	1	1
86	2481	1	1
87	2547	1	1
88	2613	1	1
89	2679	1	1
90	2745	1	1
91	3463	1	1
92	4181	1	1
93	4899	1	1
94	5617	1	1
95	6335	1	1
96	7053	1	1
97	7771	1	1
98	8489	1	1
99	9207	1	1
100	9925	1	1
101	11932	1	1
102	13940	1	1
103	15947	1	1
104	17955	1	1
105	19962	1	1
106	21970	1	1
107	23977	1	1
108	25985	1	1
109	27992	1	1
110	30000	1	1
111	36000	1	1
112	42000	1	1
113	48000	1	1
114	54000	1	1
115	60000	1	1
116	66000	1	1
117	72000	1	1
118	78000	1	1
119	84000	1	1
120	90000	1	1
121	108000	1	1
122	126000	1	1
123	144000	1	1
