Level	Total	PerKill	Junk	Stats	Divisor
1	400	50	0	0	1
2	900	55	0	0.01137676	1
3	1400	60	0	0.022901418	1
4	2100	65	0	0.034575896	1
5	2800	70	0	0.046402142	1
6	3800	75	0	0.05838213	1
7	5000	80	0	0.070517858	1
8	6400	85	0	0.08281135	1
9	8100	90	0	0.095264657	1
10	8800	95	0	0.107879858	1
11	9800	100	0	0.120659056	1
12	11500	105	0	0.133604383	1
13	14000	110	0	0.146718	1
14	16300	115	0	0.160002094	1
15	18800	120	0	0.173458881	1
16	20800	125	0	0.187090606	1
17	22500	130	0	0.200899544	1
18	24000	135	0	0.214887998	1
19	25700	140	0	0.229058302	1
20	27300	145	0	0.24341282	1
21	29100	150	0	0.257953946	1
22	30900	155	0	0.272684108	1
23	32500	160	0	0.287605761	1
24	34400	165	0	0.302721396	1
25	36500	170	0	0.318033534	1
26	38200	175	0	0.333544729	1
27	40100	180	0	0.349257571	1
28	41800	185	0	0.365174679	1
29	44800	190	0	0.38129871	1
30	47600	195	0	0.397632353	1
31	50900	200	0	0.414178333	1
32	53500	205	0	0.430939412	1
33	56400	210	0	0.447918384	1
34	59100	215	0	0.465118083	1
35	62000	220	0	0.482541378	1
36	65100	225	0	0.500191175	1
37	67800	230	0	0.518070421	1
38	70800	235	0	0.536182096	1
39	73700	240	0	0.554529223	1
40	95700	245	0	0.573114863	1
41	99500	250	0	0.591942116	1
42	103300	255	0	0.611014123	1
43	107000	260	0	0.630334067	1
44	110800	265	0	0.64990517	1
45	114700	270	0	0.669730697	1
46	118500	275	0	0.689813956	1
47	122400	280	0	0.710158297	1
48	126300	285	0	0.730767115	1
49	130200	290	0	0.751643847	1
50	134300	295	0	0.772791977	1
51	138300	300	0	0.794215033	1
52	142400	305	0	0.815916588	1
53	146500	310	0	0.837900263	1
54	150500	315	0	0.860169727	1
55	154700	320	0	0.882728693	1
56	158900	325	0	0.905580926	1
57	163200	330	0	0.928730238	1
58	167300	335	0	0.952180491	1
59	171700	340	0	0.975935597	1
60	254000	345	0	1	3
61	275000	350	0	1.024376273	3
62	301000	355	0	1.049069925	3
63	328000	360	0	1.074084594	3
64	359000	365	0	1.099424453	3
65	367000	370	0	1.125093731	3
66	374000	375	0	1.151096709	3
67	381000	380	0	1.177437726	3
68	388000	385	0	1.204121177	3
69	395000	390	0	1.231151512	3
70	405000	395	0	1.258533242	9
71	415000	400	0	1.286270934	9
72	422000	405	0	1.314369216	9
73	427000	410	0	1.342832775	9
74	432000	415	0	1.371666361	9
75	438000	420	0	1.400874784	9
76	445000	425	0	1.430462916	9
77	455000	430	0	1.460435694	9
78	462000	435	0	1.490798118	9
79	474000	440	0	1.521555253	9
80	482000	445	0	1.552712231	27
81	487000	450	0	1.58427425	27
82	492000	455	0	1.616246575	27
83	497000	460	0	1.64863454	27
84	506000	465	0	1.681443549	27
85	517000	470	0	1.714679075	81
86	545000	475	0	1.748346663	81
87	550000	480	0	1.78245193	81
88	556000	485	0	1.817000565	81
89	562000	490	0	1.851998332	81
90	596000	495	0	1.88745107	245
91	603000	500	0	1.923364694	245
92	608000	505	0	1.959745195	245
93	614000	510	0	1.996598642	245
94	621000	515	0	2.033931184	245
95	627000	520	0	2.07174905	245
96	632000	525	0	2.110058547	245
97	639000	530	0	2.148866068	245
98	645000	535	0	2.188178087	245
99	651000	540	0	2.228001162	245
100	657000	545	0	2.268341937	735
101	663000	550	0	2.268341937	2205
102	669000	555	0	2.268341937	2205
103	675000	560	0	2.268341937	2205
104	681000	565	0	2.268341937	2205
105	687000	570	0	2.268341937	2205
106	693000	575	0	2.268341937	2205
107	699000	580	0	2.268341937	2205
108	705000	585	0	2.268341937	2205
109	711000	590	0	2.268341937	2205
110	717000	595	0	2.268341937	2205
111	717000	600	0	2.268341937	2205
112	717000	605	0	2.268341937	2205
113	717000	610	0	2.268341937	2205
114	717000	610	0	2.268341937	2205
115	717000	610	0	2.268341937	2205
116	717000	610	0	2.268341937	2205
117	717000	610	0	2.268341937	2205
118	717000	610	0	2.268341937	2205
119	717000	610	0	2.268341937	2205
120	717000	610	0	2.268341937	2205
121	717000	610	0	2.268341937	2205
122	717000	610	0	2.268341937	2205
123	717000	610	0	2.268341937	2205
